CITY,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
Bridgewater,40.626247,-74.653535,32.9,5/14/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/15/2011,0.79
Bridgewater,40.626247,-74.653535,32.9,5/16/2011,0.94
Bridgewater,40.626247,-74.653535,32.9,5/17/2011,0.33
Bridgewater,40.626247,-74.653535,32.9,5/18/2011,0.51
Bridgewater,40.626247,-74.653535,32.9,5/19/2011,0.48
Bridgewater,40.626247,-74.653535,32.9,5/20/2011,0.06
Bridgewater,40.626247,-74.653535,32.9,5/21/2011,0.14
Bridgewater,40.626247,-74.653535,32.9,5/22/2011,0.01
Bridgewater,40.626247,-74.653535,32.9,5/23/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/24/2011,0.14
Bridgewater,40.626247,-74.653535,32.9,5/25/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/26/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/27/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/28/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/29/2011,0
Bridgewater,40.626247,-74.653535,32.9,5/30/2011,0.33
Bridgewater,40.626247,-74.653535,32.9,5/31/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/1/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/2/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/3/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/4/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/5/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/6/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/7/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/8/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/9/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/10/2011,0.37
Bridgewater,40.626247,-74.653535,32.9,6/11/2011,0.21
Bridgewater,40.626247,-74.653535,32.9,6/12/2011,0.13
Bridgewater,40.626247,-74.653535,32.9,6/13/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/14/2011,0.01
Bridgewater,40.626247,-74.653535,32.9,6/15/2011,0.66
Bridgewater,40.626247,-74.653535,32.9,6/16/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/17/2011,1.01
Bridgewater,40.626247,-74.653535,32.9,6/18/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/19/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/20/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/21/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/22/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/23/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/24/2011,0.24
Bridgewater,40.626247,-74.653535,32.9,6/25/2011,0.28
Bridgewater,40.626247,-74.653535,32.9,6/26/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/27/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/28/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/29/2011,0
Bridgewater,40.626247,-74.653535,32.9,6/30/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/1/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/2/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/3/2011,0.16
Bridgewater,40.626247,-74.653535,32.9,7/4/2011,0.53
Bridgewater,40.626247,-74.653535,32.9,7/5/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/6/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/7/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/8/2011,0.04
Bridgewater,40.626247,-74.653535,32.9,7/9/2011,1.37
Bridgewater,40.626247,-74.653535,32.9,7/10/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/11/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/12/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/13/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/14/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/15/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/16/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/17/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/18/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/19/2011,0.01
Bridgewater,40.626247,-74.653535,32.9,7/20/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/21/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/22/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/23/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/24/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/25/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/26/2011,0.7
Bridgewater,40.626247,-74.653535,32.9,7/27/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/28/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/29/2011,0.38
Bridgewater,40.626247,-74.653535,32.9,7/30/2011,0
Bridgewater,40.626247,-74.653535,32.9,7/31/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/1/2011,0.28
Bridgewater,40.626247,-74.653535,32.9,8/2/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/3/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/4/2011,0.28
Bridgewater,40.626247,-74.653535,32.9,8/5/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/6/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/7/2011,0.42
Bridgewater,40.626247,-74.653535,32.9,8/8/2011,0.02
Bridgewater,40.626247,-74.653535,32.9,8/9/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/10/2011,1.13
Bridgewater,40.626247,-74.653535,32.9,8/11/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/12/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/13/2011,0
Bridgewater,40.626247,-74.653535,32.9,8/14/2011,2.75
