Zip,City,County,Year,Q1_avg_homeprice,Q2_avg_homeprice,Q3_avg_homeprice,Q4_avg_homeprice,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
07514,Paterson,Passaic County,2021,342327.0,356221.0,375325.6666666667,390710.0,351484.0,375568.0,394680.0,341798.0,338307.0,368495.0,361045.0,346876.0,356134.0,390767.0,386683.0,381914.0
07481,Wyckoff,Bergen County,2021,796093.3333333334,816216.3333333334,842134.6666666666,858688.3333333334,809157.0,844030.0,862124.0,796155.0,789226.0,833023.0,824945.0,802899.0,814547.0,858941.0,855000.0,849351.0
07059,Warren Township,Somerset County,2021,781174.0,798157.0,835567.6666666666,854229.3333333334,788104.0,837841.0,861199.0,781562.0,779162.0,824856.0,810183.0,782798.0,796184.0,852422.0,849067.0,844006.0
07446,Ramsey,Bergen County,2021,608781.0,625456.6666666666,642573.3333333334,659079.0,620126.0,643326.0,664056.0,608927.0,602489.0,636221.0,631307.0,614927.0,624937.0,659203.0,653978.0,648173.0
08009,Berlin,Camden County,2021,250719.0,260437.33333333334,271602.6666666667,285031.0,257421.0,271154.0,288578.0,250742.0,247852.0,267165.0,263443.0,253563.0,260448.0,285550.0,280965.0,276489.0
08736,Manasquan,Monmouth County,2021,744396.0,774215.0,810577.6666666666,835293.0,762246.0,810165.0,840140.0,744254.0,736068.0,801241.0,786783.0,752866.0,773616.0,837049.0,828690.0,820327.0
08882,South River,Middlesex County,2021,355199.3333333333,370901.6666666667,386481.0,394058.6666666667,364561.0,386530.0,396128.0,355119.0,351416.0,382660.0,376500.0,359063.0,371644.0,394228.0,391820.0,390253.0
07828,Budd Lake,Morris County,2021,369546.6666666667,386120.0,402254.3333333333,409290.6666666667,380770.0,402754.0,411450.0,369355.0,364078.0,398202.0,391444.0,375207.0,386146.0,409493.0,406929.0,405807.0
08070,Pennsville,Salem County,2021,156276.33333333334,164976.0,177675.66666666666,189184.0,160865.0,177842.0,191853.0,156043.0,154829.0,172897.0,169145.0,157957.0,164918.0,189285.0,186414.0,182288.0
08215,Galloway Township,Atlantic County,2021,206499.33333333334,217837.66666666666,232642.33333333334,241786.0,213331.0,233034.0,243020.0,206500.0,204454.0,226753.0,222342.0,208544.0,217840.0,241472.0,240866.0,238140.0
07001,Woodbridge Township,Middlesex County,2021,329994.6666666667,351887.3333333333,367880.0,380021.3333333333,346325.0,368051.0,382539.0,329218.0,323446.0,362041.0,356721.0,337320.0,352616.0,380456.0,377069.0,373548.0
08251,Villas,Cape May County,2021,236951.66666666666,249690.66666666666,270543.6666666667,288659.0,242791.0,270187.0,293743.0,236915.0,234107.0,263871.0,256697.0,239833.0,249584.0,288477.0,283757.0,277573.0
07762,Spring Lake,Monmouth County,2021,921174.6666666666,968898.6666666666,1027870.0,1054617.6666666667,948449.0,1028565.0,1059559.0,921790.0,908114.0,1014659.0,991236.0,933620.0,967011.0,1056215.0,1048079.0,1040386.0
07663,Saddle Brook,Bergen County,2021,470887.3333333333,482932.6666666667,504711.6666666667,516643.3333333333,477845.0,506324.0,518953.0,471489.0,465146.0,497387.0,489390.0,476027.0,481563.0,516762.0,514215.0,510424.0
08244,Somers Point,Atlantic County,2021,236891.0,248864.0,273065.6666666667,283600.6666666667,241368.0,273880.0,285561.0,236906.0,236022.0,266227.0,256840.0,237745.0,248384.0,283135.0,282106.0,279090.0
07503,Paterson,Passaic County,2021,359205.3333333333,370146.0,390403.6666666667,405622.0,365126.0,390942.0,410978.0,358779.0,356793.0,383361.0,375287.0,362044.0,370025.0,405033.0,400855.0,396908.0
08846,Middlesex,Middlesex County,2021,352775.0,370194.6666666667,389624.0,400289.3333333333,363827.0,390161.0,403789.0,352454.0,348593.0,384083.0,376031.0,357278.0,370726.0,400146.0,396933.0,394628.0
07012,Clifton,Passaic County,2021,433162.3333333333,445337.0,458177.3333333333,473531.0,441433.0,458475.0,478697.0,433140.0,428930.0,453036.0,449427.0,437417.0,445151.0,473366.0,468530.0,463021.0
08069,Carneys Point,Salem County,2021,117853.33333333333,130790.66666666667,146485.33333333334,156478.66666666666,124362.0,146643.0,159131.0,117787.0,116322.0,142006.0,137337.0,119451.0,130673.0,156286.0,154019.0,150807.0
07670,Tenafly,Bergen County,2021,861059.6666666666,881180.0,904569.3333333334,929109.0,874477.0,905525.0,936559.0,861058.0,853978.0,895544.0,888796.0,868143.0,880267.0,929065.0,921703.0,912639.0
07204,Roselle Park,Union County,2021,378771.0,388744.6666666667,408131.6666666667,419861.0,382578.0,408162.0,422297.0,379530.0,376491.0,402684.0,395577.0,380292.0,388079.0,420081.0,417205.0,413549.0
08534,Hopewell Township,Mercer County,2021,475764.0,496675.6666666667,520119.0,537930.0,488334.0,520213.0,543933.0,475253.0,470937.0,513036.0,504606.0,481102.0,497087.0,537201.0,532656.0,527108.0
08030,Gloucester City,Camden County,2021,142138.66666666666,151252.66666666666,159519.66666666666,166134.0,149084.0,159486.0,167098.0,142072.0,138436.0,156481.0,153352.0,145908.0,151322.0,166480.0,164824.0,162592.0
08812,Green Brook Township,Somerset County,2021,392824.6666666667,406790.3333333333,423344.3333333333,430111.6666666667,400631.0,423883.0,432548.0,392493.0,390429.0,419345.0,412794.0,395552.0,406946.0,429669.0,428118.0,426805.0
07444,Pequannock Township,Morris County,2021,502624.3333333333,520297.3333333333,539929.3333333334,547584.0,513947.0,540442.0,549149.0,502845.0,497548.0,534426.0,527219.0,507480.0,519726.0,547813.0,545790.0,544920.0
08805,Bound Brook,Somerset County,2021,353420.3333333333,363909.0,379876.3333333333,385930.0,359550.0,380948.0,389467.0,353827.0,349717.0,376063.0,368772.0,356717.0,363405.0,384860.0,383463.0,382618.0
08048,Lumberton Township,Burlington County,2021,336151.0,350617.6666666667,372485.0,385382.0,344568.0,373286.0,388494.0,335834.0,332527.0,364801.0,356765.0,340092.0,350520.0,385292.0,382360.0,379368.0
07843,Hopatcong,Sussex County,2021,286242.0,302869.3333333333,318135.3333333333,330324.6666666667,297774.0,318664.0,334287.0,285919.0,280771.0,312814.0,307920.0,292036.0,302914.0,329873.0,326814.0,322928.0
08010,Edgewater Park Township,Burlington County,2021,208519.0,218361.66666666666,234240.33333333334,244306.33333333334,213924.0,234660.0,246879.0,208267.0,206158.0,229117.0,222915.0,211132.0,218246.0,244475.0,241565.0,238944.0
07660,Ridgefield Park,Bergen County,2021,426935.6666666667,439961.6666666667,452984.3333333333,465579.6666666667,435621.0,453191.0,468495.0,427559.0,420903.0,447873.0,444242.0,432345.0,440022.0,465526.0,462718.0,457889.0
08031,Bellmawr,Camden County,2021,193241.66666666666,203074.33333333334,215492.33333333334,226301.0,199092.0,215296.0,229294.0,193522.0,190411.0,211841.0,207335.0,195792.0,202796.0,226715.0,222894.0,219340.0
07836,Mt Olive Township,Morris County,2021,442908.6666666667,460966.0,480664.3333333333,493336.3333333333,453810.0,480710.0,496592.0,442852.0,437935.0,475307.0,468167.0,447939.0,460921.0,493602.0,489815.0,485976.0
07734,Keansburg,Monmouth County,2021,281651.3333333333,296869.0,318011.6666666667,330682.3333333333,289561.0,318106.0,333698.0,282173.0,277705.0,312642.0,304921.0,285076.0,296125.0,331047.0,327302.0,323287.0
08318,Elmer,Salem County,2021,210938.33333333334,231979.0,251391.33333333334,263940.3333333333,221705.0,251300.0,267963.0,210947.0,208189.0,247597.0,242402.0,213679.0,231830.0,264181.0,259677.0,255277.0
07022,Fairview,Bergen County,2021,507846.0,520232.3333333333,531077.6666666666,539157.3333333334,515466.0,532425.0,543691.0,507966.0,504303.0,528580.0,525798.0,511269.0,519433.0,538441.0,535340.0,532228.0
08863,Edison,Middlesex County,2021,352206.0,366123.6666666667,378109.6666666667,385806.6666666667,361342.0,377818.0,388919.0,352050.0,348315.0,375223.0,370164.0,356253.0,366865.0,386158.0,382343.0,381288.0
08609,Trenton,Mercer County,2021,92312.33333333333,101224.0,107382.66666666667,113870.33333333333,98197.0,107120.0,115385.0,92295.0,88663.0,105470.0,103726.0,95979.0,101749.0,113879.0,112347.0,109558.0
08004,Winslow Township,Camden County,2021,225207.0,234977.33333333334,248856.66666666666,261205.0,231519.0,248716.0,263915.0,225307.0,222648.0,243749.0,238736.0,227666.0,234677.0,261791.0,257909.0,254105.0
