zipcode,State,CITY,CountyName,SizeRank,eom_date,month,year,avghomeprice_month,price_drop
08807,NJ,Bridgewater Township,Somerset County,2481,2001-11-30,11,2001,333133, 
07920,NJ,Bridgewater Township,Somerset County,4533,2001-11-30,11,2001,442952, 
08836,NJ,Bridgewater Township,Somerset County,15436,2001-11-30,11,2001,452602, 
08901,NJ,New Brunswick,Middlesex County,2082,2001-12-31,12,2001,157380, 
08807,NJ,Bridgewater Township,Somerset County,2481,2001-12-31,12,2001,335688, 
07920,NJ,Bridgewater Township,Somerset County,4533,2001-12-31,12,2001,445424, 
08836,NJ,Bridgewater Township,Somerset County,15436,2001-12-31,12,2001,456502, 
08901,NJ,New Brunswick,Middlesex County,2082,2002-01-31,1,2002,158704, 
08807,NJ,Bridgewater Township,Somerset County,2481,2002-01-31,1,2002,338252, 
07920,NJ,Bridgewater Township,Somerset County,4533,2002-01-31,1,2002,447934, 
08836,NJ,Bridgewater Township,Somerset County,15436,2002-01-31,1,2002,461161, 
08901,NJ,New Brunswick,Middlesex County,2082,2002-02-28,2,2002,160533, 
08807,NJ,Bridgewater Township,Somerset County,2481,2002-02-28,2,2002,340977, 
07920,NJ,Bridgewater Township,Somerset County,4533,2002-02-28,2,2002,450882, 
08836,NJ,Bridgewater Township,Somerset County,15436,2002-02-28,2,2002,467052, 
08901,NJ,New Brunswick,Middlesex County,2082,2002-03-31,3,2002,162491, 
08807,NJ,Bridgewater Township,Somerset County,2481,2002-03-31,3,2002,343785, 
07920,NJ,Bridgewater Township,Somerset County,4533,2002-03-31,3,2002,454609, 
08836,NJ,Bridgewater Township,Somerset County,15436,2002-03-31,3,2002,472300, 
08901,NJ,New Brunswick,Middlesex County,2082,2002-04-30,4,2002,164984, 
08807,NJ,Bridgewater Township,Somerset County,2481,2002-04-30,4,2002,346086, 
07920,NJ,Bridgewater Township,Somerset County,4533,2002-04-30,4,2002,458205, 
08836,NJ,Bridgewater Township,Somerset County,15436,2002-04-30,4,2002,476486, 
08901,NJ,New Brunswick,Middlesex County,2082,2002-05-31,5,2002,167316, 
08807,NJ,Bridgewater Township,Somerset County,2481,2002-05-31,5,2002,348429, 
07920,NJ,Bridgewater Township,Somerset County,4533,2002-05-31,5,2002,461763, 
08836,NJ,Bridgewater Township,Somerset County,15436,2002-05-31,5,2002,481405, 
08901,NJ,New Brunswick,Middlesex County,2082,2002-06-30,6,2002,169514, 
08807,NJ,Bridgewater Township,Somerset County,2481,2002-06-30,6,2002,351112, 
07920,NJ,Bridgewater Township,Somerset County,4533,2002-06-30,6,2002,464995, 
08836,NJ,Bridgewater Township,Somerset County,15436,2002-06-30,6,2002,484055, 
08901,NJ,New Brunswick,Middlesex County,2082,2002-07-31,7,2002,171663, 
08807,NJ,Bridgewater Township,Somerset County,2481,2002-07-31,7,2002,354952, 
07920,NJ,Bridgewater Township,Somerset County,4533,2002-07-31,7,2002,469922, 
08836,NJ,Bridgewater Township,Somerset County,15436,2002-07-31,7,2002,488929, 
08901,NJ,New Brunswick,Middlesex County,2082,2002-08-31,8,2002,174103, 
08807,NJ,Bridgewater Township,Somerset County,2481,2002-08-31,8,2002,360139, 
07920,NJ,Bridgewater Township,Somerset County,4533,2002-08-31,8,2002,475832, 
08836,NJ,Bridgewater Township,Somerset County,15436,2002-08-31,8,2002,494619, 
08901,NJ,New Brunswick,Middlesex County,2082,2002-09-30,9,2002,176291, 
08807,NJ,Bridgewater Township,Somerset County,2481,2002-09-30,9,2002,365486, 
07920,NJ,Bridgewater Township,Somerset County,4533,2002-09-30,9,2002,482220, 
08836,NJ,Bridgewater Township,Somerset County,15436,2002-09-30,9,2002,501508, 
08901,NJ,New Brunswick,Middlesex County,2082,2002-10-31,10,2002,178624, 
08807,NJ,Bridgewater Township,Somerset County,2481,2002-10-31,10,2002,370790, 
07920,NJ,Bridgewater Township,Somerset County,4533,2002-10-31,10,2002,488209, 
08836,NJ,Bridgewater Township,Somerset County,15436,2002-10-31,10,2002,507876, 
08901,NJ,New Brunswick,Middlesex County,2082,2002-11-30,11,2002,180914, 
08807,NJ,Bridgewater Township,Somerset County,2481,2002-11-30,11,2002,374497, 
07920,NJ,Bridgewater Township,Somerset County,4533,2002-11-30,11,2002,492652, 
08836,NJ,Bridgewater Township,Somerset County,15436,2002-11-30,11,2002,510049, 
08901,NJ,New Brunswick,Middlesex County,2082,2002-12-31,12,2002,183913, 
08807,NJ,Bridgewater Township,Somerset County,2481,2002-12-31,12,2002,377273, 
07920,NJ,Bridgewater Township,Somerset County,4533,2002-12-31,12,2002,495871, 
08836,NJ,Bridgewater Township,Somerset County,15436,2002-12-31,12,2002,511245, 
08901,NJ,New Brunswick,Middlesex County,2082,2003-01-31,1,2003,187331, 
08807,NJ,Bridgewater Township,Somerset County,2481,2003-01-31,1,2003,380173, 
07920,NJ,Bridgewater Township,Somerset County,4533,2003-01-31,1,2003,499912, 
08836,NJ,Bridgewater Township,Somerset County,15436,2003-01-31,1,2003,509727, 
08901,NJ,New Brunswick,Middlesex County,2082,2003-02-28,2,2003,190255, 
08807,NJ,Bridgewater Township,Somerset County,2481,2003-02-28,2,2003,383404, 
07920,NJ,Bridgewater Township,Somerset County,4533,2003-02-28,2,2003,504025, 
08836,NJ,Bridgewater Township,Somerset County,15436,2003-02-28,2,2003,511723, 
08901,NJ,New Brunswick,Middlesex County,2082,2003-03-31,3,2003,193358, 
08807,NJ,Bridgewater Township,Somerset County,2481,2003-03-31,3,2003,386357, 
07920,NJ,Bridgewater Township,Somerset County,4533,2003-03-31,3,2003,507965, 
08836,NJ,Bridgewater Township,Somerset County,15436,2003-03-31,3,2003,513185, 
08901,NJ,New Brunswick,Middlesex County,2082,2003-04-30,4,2003,196535, 
08807,NJ,Bridgewater Township,Somerset County,2481,2003-04-30,4,2003,389587, 
07920,NJ,Bridgewater Township,Somerset County,4533,2003-04-30,4,2003,512306, 
08836,NJ,Bridgewater Township,Somerset County,15436,2003-04-30,4,2003,518340, 
08901,NJ,New Brunswick,Middlesex County,2082,2003-05-31,5,2003,199689, 
08807,NJ,Bridgewater Township,Somerset County,2481,2003-05-31,5,2003,393201, 
07920,NJ,Bridgewater Township,Somerset County,4533,2003-05-31,5,2003,517129, 
08836,NJ,Bridgewater Township,Somerset County,15436,2003-05-31,5,2003,521704, 
08901,NJ,New Brunswick,Middlesex County,2082,2003-06-30,6,2003,203103, 
08807,NJ,Bridgewater Township,Somerset County,2481,2003-06-30,6,2003,397297, 
07920,NJ,Bridgewater Township,Somerset County,4533,2003-06-30,6,2003,522405, 
08836,NJ,Bridgewater Township,Somerset County,15436,2003-06-30,6,2003,526562, 
08901,NJ,New Brunswick,Middlesex County,2082,2003-07-31,7,2003,206342, 
08807,NJ,Bridgewater Township,Somerset County,2481,2003-07-31,7,2003,400151, 
07920,NJ,Bridgewater Township,Somerset County,4533,2003-07-31,7,2003,525488, 
08836,NJ,Bridgewater Township,Somerset County,15436,2003-07-31,7,2003,528823, 
08901,NJ,New Brunswick,Middlesex County,2082,2003-08-31,8,2003,209748, 
08807,NJ,Bridgewater Township,Somerset County,2481,2003-08-31,8,2003,402804, 
07920,NJ,Bridgewater Township,Somerset County,4533,2003-08-31,8,2003,528626, 
08836,NJ,Bridgewater Township,Somerset County,15436,2003-08-31,8,2003,532256, 
08901,NJ,New Brunswick,Middlesex County,2082,2003-09-30,9,2003,212431, 
08807,NJ,Bridgewater Township,Somerset County,2481,2003-09-30,9,2003,405206, 
07920,NJ,Bridgewater Township,Somerset County,4533,2003-09-30,9,2003,531720, 
08836,NJ,Bridgewater Township,Somerset County,15436,2003-09-30,9,2003,536320, 
08901,NJ,New Brunswick,Middlesex County,2082,2003-10-31,10,2003,214464, 
08807,NJ,Bridgewater Township,Somerset County,2481,2003-10-31,10,2003,407529, 
07920,NJ,Bridgewater Township,Somerset County,4533,2003-10-31,10,2003,535241, 
08836,NJ,Bridgewater Township,Somerset County,15436,2003-10-31,10,2003,539592, 
08901,NJ,New Brunswick,Middlesex County,2082,2003-11-30,11,2003,216571, 
08807,NJ,Bridgewater Township,Somerset County,2481,2003-11-30,11,2003,408685, 
07920,NJ,Bridgewater Township,Somerset County,4533,2003-11-30,11,2003,537505, 
08836,NJ,Bridgewater Township,Somerset County,15436,2003-11-30,11,2003,540679, 
08901,NJ,New Brunswick,Middlesex County,2082,2003-12-31,12,2003,219015, 
08807,NJ,Bridgewater Township,Somerset County,2481,2003-12-31,12,2003,410743, 
07920,NJ,Bridgewater Township,Somerset County,4533,2003-12-31,12,2003,540674, 
08836,NJ,Bridgewater Township,Somerset County,15436,2003-12-31,12,2003,542167, 
08901,NJ,New Brunswick,Middlesex County,2082,2004-01-31,1,2004,221557, 
08807,NJ,Bridgewater Township,Somerset County,2481,2004-01-31,1,2004,412829, 
07920,NJ,Bridgewater Township,Somerset County,4533,2004-01-31,1,2004,543809, 
08836,NJ,Bridgewater Township,Somerset County,15436,2004-01-31,1,2004,544735, 
08901,NJ,New Brunswick,Middlesex County,2082,2004-02-29,2,2004,224747, 
08807,NJ,Bridgewater Township,Somerset County,2481,2004-02-29,2,2004,416580, 
07920,NJ,Bridgewater Township,Somerset County,4533,2004-02-29,2,2004,548750, 
08836,NJ,Bridgewater Township,Somerset County,15436,2004-02-29,2,2004,549872, 
08901,NJ,New Brunswick,Middlesex County,2082,2004-03-31,3,2004,227998, 
08807,NJ,Bridgewater Township,Somerset County,2481,2004-03-31,3,2004,420723, 
07920,NJ,Bridgewater Township,Somerset County,4533,2004-03-31,3,2004,554395, 
08836,NJ,Bridgewater Township,Somerset County,15436,2004-03-31,3,2004,555638, 
08901,NJ,New Brunswick,Middlesex County,2082,2004-04-30,4,2004,232063, 
08807,NJ,Bridgewater Township,Somerset County,2481,2004-04-30,4,2004,425961, 
07920,NJ,Bridgewater Township,Somerset County,4533,2004-04-30,4,2004,561127, 
08836,NJ,Bridgewater Township,Somerset County,15436,2004-04-30,4,2004,562009, 
08901,NJ,New Brunswick,Middlesex County,2082,2004-05-31,5,2004,236158, 
