STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/12/2011,0.72
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/13/2011,0.02
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/14/2011,0
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/15/2011,0.28
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/17/2011,0.64
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/18/2011,0.46
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/19/2011,0.01
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/20/2011,0
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/21/2011,0
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/22/2011,0.05
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/24/2011,0.18
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/25/2011,0.26
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/27/2011,0
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/28/2011,0
US1NJMD0028,"NEW BRUNSWICK 0.3 NE, NJ US",40.4896492,-74.4408766,12.5,6/29/2011,0
